country_code,country_name,avg_interest,max_interest,current_interest,trend_direction,gdp_per_capita,tertiary_education,population,internet_users_pct,ai_repos_count
US,United States,41.09,100,56,rising,84534.0407841548,79.361930847168,340110988.0,,0.0
GB,United Kingdom,43.29,100,67,rising,53246.3676145108,80.4987716674805,69226000.0,96.2988,0.0
DE,Germany,43.63,100,60,rising,56103.7323182554,78.5947494506836,83516593.0,93.5,0.0
FR,France,35.82,100,72,rising,46103.0840855884,70.4536437988281,68551653.0,88.6538,0.0
JP,Japan,53.9,100,57,rising,,64.8912200927734,123975371.0,86.9815,0.0
CN,China,25.62,100,25,rising,13303.1481543868,76.8757843123403,1408975000.0,92.0,0.0
IN,India,25.41,100,42,rising,2694.73780859961,34.4184659748952,1450935791.0,55.9,0.0
BR,Brazil,32.17,100,44,rising,10310.5488778166,60.3906211853027,211998573.0,,0.0
CA,Canada,46.03,100,59,rising,54340.3477224733,76.2586212158203,41288599.0,93.9564,0.0
AU,Australia,47.2,100,56,rising,64603.9856308464,104.64835357666,27196812.0,97.0631,0.0
KR,South Korea,38.84,100,49,rising,36238.639908315,106.709167480469,,97.8956,
IT,Italy,37.28,100,64,rising,40385.3413957669,75.9496536254883,58952704.0,89.2207,0.0
ES,Spain,35.75,100,50,rising,35326.7683069278,93.7303466796875,48848840.0,95.7575,0.0
MX,Mexico,40.28,100,40,rising,14185.7812248529,47.474681854248,130861007.0,81.1832,0.0
ID,Indonesia,41.17,100,49,rising,4925.43048751861,44.8813034886441,283487931.0,72.7808,0.0
NL,Netherlands,41.6,100,61,rising,67520.4218956281,86.5938262939453,17993485.0,97.0068,0.0
TR,Turkey,35.28,100,92,rising,15892.7157287241,127.577972412109,,87.3079,0.0
SA,Saudi Arabia,37.51,100,91,rising,35121.6628687742,83.884129573915,35300280.0,100.0,0.0
CH,Switzerland,40.97,100,60,rising,103998.186685604,74.0060882568359,9005582.0,,0.0
PL,Poland,40.89,100,72,rising,25103.565661423,76.8794097900391,36559233.0,88.585,0.0
SE,Sweden,41.15,100,51,rising,57117.4877440616,81.3998184204102,10569709.0,95.5293,0.0
BE,Belgium,38.14,100,64,rising,56614.5679499036,82.1475601196289,11858610.0,95.7758,
AR,Argentina,26.9,100,35,rising,,107.822574129434,45696159.0,89.6672,0.0
NO,Norway,43.54,100,53,rising,86785.4334489176,95.0573806762695,5572279.0,99.0,0.0
AT,Austria,41.56,100,62,rising,,91.6818237304688,9177982.0,,0.0
IL,Israel,53.33,100,85,rising,54176.6844383302,55.8351593017578,9974400.0,88.1824,0.0
IE,Ireland,36.27,100,60,rising,112894.953240805,76.6049499511719,5395790.0,96.4974,0.0
DK,Denmark,45.09,100,56,rising,71026.4832271897,81.2308197021484,5976992.0,99.7692,0.0
SG,Singapore,50.05,100,69,rising,90674.066632628,97.2886546863037,6036860.0,94.3776,0.0
MY,Malaysia,40.39,100,72,rising,11874.4273684245,38.5013945445142,35557673.0,98.0206,0.0
